frame_number,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,size,summary
1,2025-08-11 09:33:59.427344,52.115.109.31,3479,192.168.1.3,50017,UDP,171,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=137
2,2025-08-11 09:33:59.445085,52.115.109.31,3479,192.168.1.3,50017,UDP,180,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=146
3,2025-08-11 09:33:59.463042,52.115.109.31,3479,192.168.1.3,50017,UDP,181,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=147
4,2025-08-11 09:33:59.482969,52.115.109.31,3479,192.168.1.3,50017,UDP,170,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=136
5,2025-08-11 09:33:59.494351,192.168.1.3,50030,52.115.109.31,3480,UDP,158,UDP: 192.168.1.3:50030 -> 52.115.109.31:3480 Len=124
6,2025-08-11 09:33:59.504741,52.115.109.31,3479,192.168.1.3,50017,UDP,166,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=132
7,2025-08-11 09:33:59.519062,52.115.109.31,3481,192.168.1.3,50055,UDP,581,UDP: 52.115.109.31:3481 -> 192.168.1.3:50055 Len=547
8,2025-08-11 09:33:59.526874,52.115.109.31,3479,192.168.1.3,50017,UDP,159,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=125
9,2025-08-11 09:33:59.527391,52.115.109.31,3481,192.168.1.3,50055,UDP,114,UDP: 52.115.109.31:3481 -> 192.168.1.3:50055 Len=80
10,2025-08-11 09:33:59.542094,52.115.109.31,3479,192.168.1.3,50017,UDP,165,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=131
11,2025-08-11 09:33:59.565568,52.115.109.31,3479,192.168.1.3,50017,UDP,157,UDP: 52.115.109.31:3479 -> 192.168.1.3:50017 Len=123
12,2025-08-11 09:33:59.574464,52.115.109.31,3481,192.168.1.3,50041,UDP,230,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=196
13,2025-08-11 09:33:59.575141,52.115.109.31,3481,192.168.1.3,50041,UDP,99,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=65
14,2025-08-11 09:33:59.576373,52.115.109.31,3481,192.168.1.3,50041,UDP,86,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=52
15,2025-08-11 09:33:59.576737,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
16,2025-08-11 09:33:59.577384,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
17,2025-08-11 09:33:59.578015,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
18,2025-08-11 09:33:59.578623,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
19,2025-08-11 09:33:59.579233,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
20,2025-08-11 09:33:59.579976,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
21,2025-08-11 09:33:59.581124,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
22,2025-08-11 09:33:59.582129,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
23,2025-08-11 09:33:59.582877,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
24,2025-08-11 09:33:59.583779,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
25,2025-08-11 09:33:59.584438,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
26,2025-08-11 09:33:59.585034,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
27,2025-08-11 09:33:59.585623,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
28,2025-08-11 09:33:59.586323,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
29,2025-08-11 09:33:59.586948,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
30,2025-08-11 09:33:59.587535,52.115.109.31,3481,192.168.1.3,50041,UDP,1177,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1143
31,2025-08-11 09:33:59.588132,52.115.109.31,3481,192.168.1.3,50041,UDP,1165,UDP: 52.115.109.31:3481 -> 192.168.1.3:50041 Len=1131
